timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1723593603.7167,BTCUSDT,Buy,0.009,60568.20,ZeroPlusTick,48340902-faa4-5a78-9ebe-dbf90fda72ae,5.451138e+10,0.009,545.1138
1723593603.7167,BTCUSDT,Buy,0.033,60568.20,ZeroPlusTick,16801ce0-e41a-5dd2-bbb6-381e4e5d841c,1.9987506e+11,0.033,1998.7506
1723593603.7167,BTCUSDT,Buy,0.033,60568.20,ZeroPlusTick,979f7937-2527-5b99-a4f0-8fa42b44c892,1.9987506e+11,0.033,1998.7506
1723593603.8692,BTCUSDT,Buy,0.001,60571.40,PlusTick,c80b3b7e-6e7a-56c5-8ed9-b7c1bd1702fd,6.05714e+09,0.001,60.571400000000004
1723593603.8692,BTCUSDT,Buy,0.008,60571.40,ZeroPlusTick,fe6730cf-44b1-5f3c-bc07-af4e92bddc1d,4.845712e+10,0.008,484.57120000000003
1723593603.8692,BTCUSDT,Buy,0.001,60571.40,ZeroPlusTick,1e1f4b0d-c15f-582b-9a1b-91a90e939d7a,6.05714e+09,0.001,60.571400000000004
1723593603.8693,BTCUSDT,Buy,0.009,60571.40,ZeroPlusTick,fdc8d191-6536-50f9-8fa0-aabcc9f92dcf,5.451426e+10,0.009,545.1426
1723593603.8694,BTCUSDT,Buy,0.001,60571.60,PlusTick,55fc13a4-ce11-5990-9762-0564d9c25b6d,6.05716e+09,0.001,60.5716
1723593603.8694,BTCUSDT,Buy,0.001,60572.20,PlusTick,c08a08d6-7887-5739-b275-7875dd77583d,6.057219999999999e+09,0.001,60.572199999999995
1723593603.8694,BTCUSDT,Buy,0.001,60572.20,ZeroPlusTick,0340b422-3ef6-597e-995f-cdd09bffef26,6.057219999999999e+09,0.001,60.572199999999995
1723593603.8695,BTCUSDT,Buy,0.001,60572.20,ZeroPlusTick,682df5bf-3bbb-54ba-befa-119fca106c8f,6.057219999999999e+09,0.001,60.572199999999995
1723593604.0011,BTCUSDT,Sell,0.006,60573.00,PlusTick,85a67cba-a052-563c-b6cb-2b908c90aeec,3.63438e+10,0.006,363.438
